IDpol,ClaimAmount
1552.0,995.2
1010996.0,1128.12
4024277.0,1851.11
4007252.0,1204.0
4046424.0,1204.0
4073956.0,1204.0
4012173.0,1204.0
4020812.0,54942.62
4020812.0,7620.0
4074074.0,1204.0
4038917.0,77.2
4078046.0,1045.0
4002627.0,1204.0
4040835.0,1204.0
4016845.0,1204.0
4020011.0,1204.0
4047043.0,1204.0
4013137.0,1204.0
4017287.0,556.14
4025167.0,1204.0
4044025.0,1204.0
4070042.0,1204.0
4002743.0,556.14
4002743.0,1204.0
4040516.0,556.14
4040516.0,1204.0
4018480.0,1204.0
1012867.0,417.52
4071839.0,1204.0
4051128.0,1204.0
4027811.0,1204.0
1007007.0,419.23
4031365.0,1204.0
1013558.0,9568.34
4049865.0,76.54
4032858.0,1204.0
4036118.0,6403.42
4026763.0,602.0
4021448.0,1204.0
4085369.0,212.0
1013423.0,650.73
4046864.0,5537.37
4023587.0,1204.0
1013423.0,1128.12
4045094.0,1204.0
4005990.0,1204.0
4045537.0,556.14
4047821.0,1204.0
4079554.0,288.17
4079554.0,556.14
4014458.0,4868.88
4046150.0,822.73
4046150.0,105.0
4040097.0,5102.65
4040097.0,1302.79
4050049.0,1204.0
4032500.0,1204.0
4050682.0,602.0
4027144.0,1204.0
4026476.0,1204.0
1011592.0,1128.0
4032652.0,643.0
1012238.0,236.41
4072824.0,1204.0
1013017.0,4673.43
4082304.0,775.22
4082304.0,1204.0
4071724.0,1204.0
4045181.0,1204.0
4044936.0,1204.0
4073779.0,741.14
4047026.0,602.0
4004932.0,556.14
4004932.0,1204.0
4030922.0,658.47
4030922.0,1458.78
4013329.0,1204.0
4040912.0,1204.0
4026938.0,465.61
4010875.0,115.76
4007562.0,15139.64
4075024.0,602.0
4034999.0,1153.88
1013126.0,1128.12
4074647.0,1204.0
4003515.0,1204.0
4053416.0,1204.0
1011448.0,1128.12
4054864.0,82.05
4041620.0,1204.0
4082274.0,1204.0
4047719.0,1204.0
4071397.0,1874.0
4040034.0,750.0
4051409.0,1204.0
4033751.0,1204.0
4055372.0,17616.93
4055372.0,1204.0
4040803.0,1204.0
4041962.0,1204.0
4045538.0,556.14
4014293.0,405.29
4072103.0,1204.0
4045936.0,747.0
4029468.0,5714.17
4029468.0,1670.0
4042992.0,2735.14
4080591.0,602.0
4041886.0,1204.0
1012045.0,1128.0
4045366.0,695.18
4045366.0,1276.52
4081816.0,602.0
4007322.0,99.72
1005527.0,80.45
4012757.0,788.07
4077549.0,262.05
4031845.0,556.14
4031845.0,1320.0
4080469.0,97.5
4005526.0,1204.0
4040157.0,677.51
1008456.0,1128.12
4050789.0,1204.0
4048201.0,4301.07
4081492.0,1204.0
4016233.0,602.0
4071527.0,602.0
4045725.0,747.0
4047920.0,1204.0
4003381.0,1204.0
4039077.0,1204.0
4071478.0,1204.0
4047952.0,1198.07
4036493.0,31430.49
4032412.0,1204.0
4016505.0,235.88
4047181.0,1204.0
4028135.0,1204.0
4037719.0,1204.0
4051789.0,1204.0
4048632.0,6805.57
4001936.0,73831.86
4001936.0,602.0
4083610.0,1204.0
4054712.0,1204.0
4047357.0,1204.0
4037114.0,1204.0
4073760.0,1204.0
4081019.0,556.14
4027334.0,1204.0
4078697.0,1204.0
4032351.0,1204.0
4072993.0,1204.0
4084554.0,1204.0
4083145.0,1204.0
4031879.0,1204.0
4075978.0,252.45
4046903.0,1284.81
4002501.0,271.94
4016840.0,1204.0
4070526.0,556.14
4023587.0,1204.0
4079565.0,2838.07
4075712.0,1204.0
4049446.0,1204.0
4042480.0,1204.0
4039674.0,1204.0
4035465.0,1204.0
4011408.0,1204.0
4054698.0,1204.0
4012804.0,602.0
4075241.0,1204.0
4016245.0,556.14
4016245.0,540.0
4005257.0,1204.0
4053251.0,2077.82
4001858.0,1048.98
4001858.0,1204.0
4083586.0,602.0
4008875.0,1204.0
4025543.0,959.53
4025543.0,602.0
4070358.0,1204.0
4080391.0,1204.0
4027377.0,1204.0
4037412.0,1204.0
4081973.0,2018.44
4033416.0,1204.0
4018889.0,1204.0
1002484.0,14758.09
4047174.0,82.05
4055082.0,1204.0
1000981.0,1128.12
4014282.0,556.14
4014282.0,1537.77
4069906.0,1204.0
4038839.0,602.0
4053627.0,1204.0
4010201.0,603.7
4045868.0,16129.91
4054991.0,1042.9
4080675.0,602.0
1012767.0,1128.12
4011573.0,2498.95
4074006.0,746.65
4076177.0,1002.0
4056100.0,6539.97
1008384.0,1128.12
4056100.0,1204.0
4041563.0,556.14
4036173.0,1204.0
4017211.0,1204.0
4079790.0,1028.43
4079790.0,602.0
4012950.0,1204.0
4001814.0,89.7
4033529.0,1204.0
4078660.0,1204.0
4070328.0,602.0
4015141.0,1204.0
4013072.0,602.0
4030710.0,5827.75
4030710.0,7492.43
4071744.0,1204.0
4040775.0,1204.0
4008155.0,1320.0
4047612.0,1887.78
1011507.0,1128.12
4003322.0,602.0
4024700.0,1882.51
4024700.0,7920.0
4073469.0,956.14
4049882.0,388.4
4000007.0,556.14
4000007.0,1204.0
4077887.0,602.0
4034182.0,602.0
4044981.0,1204.0
4077819.0,1204.0
4078904.0,1204.0
3045425.0,1204.0
4010765.0,1204.0
4080319.0,916.14
4050259.0,1204.0
4041656.0,1204.0
4006471.0,1204.0
1011898.0,1128.12
4059223.0,5234.12
4073723.0,5632.81
4027115.0,1204.0
4028558.0,1204.0
4042701.0,3547.27
4042701.0,1320.0
4012232.0,746.65
4027409.0,161.07
4027409.0,2423.58
4011494.0,7018.71
4011494.0,1204.0
4075865.0,1419.29
4018413.0,1204.0
4073997.0,1204.0
4077319.0,1204.0
4085358.0,7250.0
